"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar23.0769230769231","semivar46.1538461538462","semivar69.2307692307692","semivar92.3076923076923","semivar115.384615384615","semivar138.461538461538","semivar161.538461538462","semivar184.615384615385","semivar207.692307692308","semivar230.769230769231","semivar253.846153846154","semivar276.923076923077","semivar300"
"AR-370_NR1_2016-03-10_R_T1",6,"3/10/2016","11:26:39 AM",37.437,13.558,15.47436539,30,"AR-370_NR1_2016-03-10_R_T1_final.csv",0,0,0.0144987189423318,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR1_2016-03-10_R_T1",7,"3/10/2016","11:26:40 AM",37.4281,13.558,15.4683093,NA,"AR-370_NR1_2016-03-10_R_T1_final.csv",10,2.5,0.0439372384287331,"3.66762260881156e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR1_2016-03-10_R_T1",8,"3/10/2016","11:26:41 AM",37.3659,13.558,15.42598471,NA,"AR-370_NR1_2016-03-10_R_T1_final.csv",20,5,0.0748489439952129,"0.00179137091866808","0.0023406901972625","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR1_2016-03-10_R_T1",9,"3/10/2016","11:26:42 AM",37.2725,13.558,15.36242979,NA,"AR-370_NR1_2016-03-10_R_T1_final.csv",30,7.5,0.0842560517065081,"0.00403922785620635","0.01121047063784","0.0125295785473602","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR1_2016-03-10_R_T1",10,"3/10/2016","11:26:43 AM",37.2637,13.558,15.35644174,NA,"AR-370_NR1_2016-03-10_R_T1_final.csv",40,10,0.080502152843348,"3.58567428025109e-05","0.00483622467642097","0.0125143509803537","0.0139059872293229","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR1_2016-03-10_R_T1",11,"3/10/2016","11:26:44 AM",37.2148,13.558,15.32316727,NA,"AR-370_NR1_2016-03-10_R_T1_final.csv",50,12.5,0.0780691564018822,"0.0011071903537808","0.00154154547675035","0.0105714259681534","0.0210662088725206","0.0228608714915344","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR1_2016-03-10_R_T1",12,"3/10/2016","11:26:45 AM",37.1881,13.558,15.304999,NA,"AR-370_NR1_2016-03-10_R_T1_final.csv",60,15,0.0773734343533819,"0.000330086034792912","0.00264635549870748","0.00329829564002407","0.0146375420242039","0.0266702540860897","0.0286849740616322","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR1_2016-03-10_R_T1",13,"3/10/2016","11:26:46 AM",37.1169,13.558,15.25655027,NA,"AR-370_NR1_2016-03-10_R_T1_final.csv",70,17.5,0.0592818362131194,"0.00234727943861295","0.00443782468900011","0.00997830577876076","0.0112104727554304","0.0287080294581136","0.0448418867865407","0.0474434265006148","NA","NA","NA","NA","NA","NA"
"AR-370_NR1_2016-03-10_R_T1",14,"3/10/2016","11:26:47 AM",37.0635,13.558,15.22021373,NA,"AR-370_NR1_2016-03-10_R_T1_final.csv",80,20,0.0288942659409978,"0.00132034413917165","0.00718854200897309","0.0105994313985319","0.0185580707085601","0.0202254077219238","0.0423416962101606","0.061551411853625","0.0645930662807564","NA","NA","NA","NA","NA"
"AR-370_NR1_2016-03-10_R_T1",15,"3/10/2016","11:26:48 AM",37.1347,13.558,15.26866245,NA,"AR-370_NR1_2016-03-10_R_T1_final.csv",90,22.5,0.00580197338398935,"0.00234727846963854","0.000146704904352419","0.00132034486590248","0.0029707754032324","0.00770520375290384","0.00879231405067549","0.0247502934915073","0.039858864714922","0.0423136995246436","NA","NA","NA","NA"
"AR-370_NR1_2016-03-10_R_T1",16,"3/10/2016","11:26:49 AM",37.3037,13.558,15.38366012,NA,"AR-370_NR1_2016-03-10_R_T1_final.csv",100,25,0.00176427675154338,"0.0132244641054287","0.0267147224040323","0.0161569139670225","0.00618757179965433","0.00365938490112241","0.000740840209824442","0.000450726911908894","0.00179137091866808","0.00716548367467232","0.00822744600577305","NA","NA","NA"
"AR-370_NR1_2016-03-10_R_T1",17,"3/10/2016","11:26:50 AM",37.3526,13.558,15.4169346,NA,"AR-370_NR1_2016-03-10_R_T1_final.csv",110,27.5,0.000225363668257814,"0.00110719101927036","0.0219846304656221","0.0386991006935569","0.0257231333095487","0.0125295785473598","0.00879231217532864","0.00365938611097961","0.00297077431313601","8.1904491012108e-05","0.00263935980009002","0.00329829564002427","NA","NA"
"AR-370_NR1_2016-03-10_R_T1",18,"3/10/2016","11:26:51 AM",37.4058,13.558,15.45313505,25,"AR-370_NR1_2016-03-10_R_T1_final.csv",120,30,0,"0.00131047258020256","0.00482676589850492","0.0340301401507598","0.0542523413105428","0.0386455757276485","0.0219442893096024","0.0168916238381282","0.00934959619875628","0.0082274441916676","0.000737140962115621","0.000230257863062481","0.000450727336515629","NA"
